fz,Obokuitai
ga,Aguano
gb,Legbo
gc,Agatu
gd,Agarabi
ge,Angal
gf,Arguni
gg,Angor
gh,Ngelima
gi,Agariya
gj,Argobba
gk,Isarog Agta
gl,Fembe
gm,Angaataha
gn,Agutaynen
go,Tainae
gq,Aghem
gr,Aguaruna
gs,Esimbi
gt,Central Cagayan Agta
gu,Aguacateca
gv,Remontado Agta
gw,Kahua
gx,Aghul
gy,Southern Alta
gz,Mount Iriga Agta
ha,Ahanta
hb,Axamb
hg,Qimant
hh,Aghu
hi,Tiagbamrin Aizi
hk,Akha
hl,Igo
hm,Mobumrin Aizi
hn,Àhàn
ho,Ahom
hp,Aproumu Aizi
hr,Ahirani
hs,Ashe
ht,Ahtna
ia,Arosi
ib,Aynu
ic,Ainbai
id,Alngith
ie,Amara
if,Agi
ig,Antigua and Barbuda Creole English
ih,Ai-Cham
ii,Assyrian Neo-Aramaic
ij,Lishanid Noshan
ik,Ake
il,Aimele
im,Aimol
in,Ainu
io,Aiton
ip,Burumakok
ir,Airoran
it,Arikem
iw,Aari
ix,Aighon
iy,Ali
ja,Aja
jg,Adja
ji,Ajië
jn,Andajin
jp,South Levantine Arabic
jt,Judeo-Tunisian Arabic
ju,Judeo-Moroccan Arabic
jw,Ajawa
jz,Amri Karbi
k,Akan
kb,Angkola Batak
kc,Mpur
kd,Ukpet-Ehom
ke,Akawaio
kf,Akpa
kg,Anakalangu
kh,Angal Heneng
ki,Aiome
kj,Jeru
kk,Akkadian
kl,Aklanon
km,Aka-Bo
ko,Akurio
kp,Siwu
kq,Ak
kr,Araki
ks,Akaselem
kt,Akolet
ku,Akum
kv,Akhvakh
kw,Akwa
kx,Aka-Kede
ky,Aka-Kol
kz,Alabama
la,Alago
lc,Kawésqar
ld,Alladian
le,Aleut
lf,Alege
lg-aga,Agawam
lg-pro,Proto-Algonquian
lh,Alawa
li,Amaimon
lj,Alangan
lk,Alak
ll,Allar
lm,Amblong
lo,Larike-Wakasihu
lp,Alune
lq,Algonquin
lr,Alutor
lt,Southern Altai
lu,Are'are
lv-ama,Amasi
lv-bgu,Baïnounk Gubëeher
lv-bua-pro,Proto-Bua
lv-cng-pro,Proto-Cangin
lv-edo-pro,Proto-Edoid
lv-fli-pro,Proto-Fali
lv-gbe-pro,Proto-Gbe
lv-gng-pro,Proto-Guang
lv-gtm-pro,Proto-Central Togo
lv-gwa,Gwara
lv-hei-pro,Proto-Heiban
lv-igb-pro,Proto-Igboid
lv-kwa-pro,Proto-Kwa
lv-mum-pro,Proto-Mumuye
lv-nup-pro,Proto-Nupoid
lv-pro,Proto-Atlantic-Congo
lv-yor-pro,Proto-Yoruboid
lw,Alaba
lx,Amol
ly,Alyawarr
lz,Alur
m,Amharic
ma,Amanayé
mb,Ambo
mc,Amahuaca
me,Yanesha'
mf,Hamer-Banna
mg,Amurdag
mi,Amis
mj,Amdang
mk,Ambai
ml,War-Jaintia
mm,Ama
mn,Amanab
mo,Amo
mp,Alamblak
mq,Amahai
mr,Amarakaeri
ms,Southern Amami-Oshima
mt,Amto
mu,Guerrero Amuzgo
mv,Ambelau
mw,Western Neo-Aramaic
mx,Anmatyerre
my,Ami
mz,Atampaya
n,Aragonese
na,Andaqui
nb,Andoa
nc,Ngas
nd,Ansus
ne,Xârâcùù
nf,Animere
ng,Old English
nh,Nend
ni,Andi
nj,Anor
nk,Goemai
nl,Anu
nm,Anal
nn,Obolo
no,Andoque
np,Angika
nq,Jarawa
nr,Andh
ns,Anserma
nt,Antakarinya
nu,Anuak
nv,Denya
nw,Anaang
nx,Andra-Hus
ny,Anyi
nz,Anem
oa,Angolar
ob,Abom
oc,Pemon
od,Andarum
oe,Angal Enen
of,Bragat
og,Angoram
oh,Arma
oi,Anindilyakwa
oj,Mufian
ok,Arhö
ol,Alor
om,Ömie
on,Bumbita Arapesh
or,Aore
os,Taikat
ot,Atong (India)
ou,A'ou
ox,Atorada
oz,Uab Meto
pa-pro,Proto-Apachean
pb,Sa'a
pc,North Levantine Arabic
pd,Sudanese Arabic
pe,Bukiyip
pf,Pahanan Agta
pg,Ampanang
ph,Athpare
pi,Apiaká
pj,Jicarilla
pk,Plains Apache
pl,Lipan
pm,Chiricahua
pn,Apinayé
po,Ambul
pp,Apma
pq,A-Pucikwar
pr,Arop-Lokep
ps,Arop-Sissano
pt,Apatani
pu,Apurinã
pv,Alapmunte
pw,Western Apache
px,Aputai
py,Apalaí
pz,Safeyoka
qc,Archi
qd,Ampari Dogon
qg,Arigidi
ql-pro,Proto-Algic
qm,Atohwaim
qn,Northern Alta
qp,Atakapa
qr,Arhâ
qt,Angaité
qz,Akuntsu
r,Arabic
rc,Aramaic
rd,Arabana
re,Western Arrernte
rh,Arhuaco
ri,Arikara
rj,Arapaso
rk,Arikapú
rl,Arabela
rn,Mapudungun
ro,Araona
rp,Arapaho
rq,Algerian Arabic
rr,Arara-Karo
rs,Najdi Arabic
rt-blk,Bolak
rt-bsp,Black Speech
rt-com,Communicationssprache
rt-dtk,Dothraki
rt-elo,Eloi
rt-gld,Goa'uld
rt-lap,Lapine
rt-man,Mandalorian
rt-mun,Mundolinco
rt-nav,Na'vi
rt-nox,Noxilo
rt-top,Toki Pona
rt-una,Unas
ru,Arua
rv,Arbore
rw,Arawak
rx,Aruá
ry,Moroccan Arabic
rz,Egyptian Arabic
s,Assamese
sa,Pare
sb,Assiniboine
sc,Casuarina Coast Asmat
se,American Sign Language
sf,Auslan
sg,Cishingini
sh,Abishira
si,Buruwai
sj,Nsari
sk,Ashkun
sl,Asilulu
sn,Xingú Asuriní
so,Dano
sp,Algerian Sign Language
sq,Austrian Sign Language
sr,Asuri
ss,Ipulo
st,Asturian
su,Tocantins Asurini
sv,Asoa
sw,Australian Aboriginal Sign Language
sx,Muratayak
sy,Yaosakor Asmat
sz,As
ta,Pele-Ata
tb,Zaiwa
tc,Atsahuaca
td,Ata Manobo
te,Atemble
tg,Okpela
th-nic,Nicola
th-pro,Proto-Athabaskan
ti,Attié
tj,Atikamekw
tk,Ati
tl,Mount Iraya Agta
tm,Ata
to,Atong (Cameroon)
tp,Pudtol Atta
tq,Aralle-Tabulahan
tr,Waimiri-Atroari
ts,Gros Ventre
tt,Pamplona Atta
tu,Reel
tv,Northern Altai
tw,Atsugewi
tx,Arutani
ty,Aneityum
tz,Arta
ua,Asumboa
ub,Alugu
uc,Huaorani
ud,Anuta
uf-pro,Proto-Arawa
ug,Aguna
uh,Aushi
ui,Anuki
uj,Awjila
uk,Heyo
ul,Aulua
um,Asu
un,Molmo One
uo,Auyokawa
up,Makayam
uq,Anus
ur,Aruek
us-alu,Alungul
us-and,Andjingith
us-ang,Angkula
us-arn-pro,Proto-Arnhem
us-bra,Barranbinya
us-brm,Barunggam
us-bru,Bruny Island
us-cww-pro,Proto-Central New South Wales
us-dal-pro,Proto-Daly
us-guw,Guwar
us-lsw,Little Swanport
us-mbi,Mbiywom
us-ngk,Ngkoth
us-nyu-pro,Proto-Nyulnyulan
us-pam-pro,Proto-Pama-Nyungan
us-par,Paredarerme
us-pee,Peerapper
us-psl,Port Sorell
us-pye,Pyemmairre
us-set,Southeast Tasmanian
us-tom,Tommeginne
us-too,Toogee
us-tul,Tulua
us-uwi,Uwinymil
us-wdj-pro,Proto-Iwaidjan
us-won,Wong-gie
us-wul,Wulguru
us-ynk,Yangkaal
ut,Austral
uu,Auye
uw,Awyi
ux,Aurá
uy,Auyana
uz,Uzbeki Arabic
v,Avar
vb,Avau
vd,Alviri-Vidari
vi,Avikam
vk,Kotava
vl,Eastern Egyptian Bedawi Arabic
vm,Angkamuthi
vn,Avatime
vo,Agavotaguerra
vs,Aushiri
vt,Au
vu,Avokaya
vv,Avá-Canoeiro
wa,Awadhi
wb,Awa (New Guinea)
wc,Cicipu
wd-ama,Amarizana
wd-amc-pro,Proto-Amuesha-Chamicuro
wd-ana,Anauyá
wd-apo,Apolista
wd-cav,Cavere
wd-gnu,Guinau
wd-kar,Cariay
wd-kaw,Kawishana
wd-kmp-pro,Proto-Kampa
wd-kus,Kustenau
wd-man,Manao
wd-mar,Marawan
wd-mpr,Maypure
wd-mrt,Mariaté
wd-nwk-pro,Proto-Nawiki
wd-pai,Paikoneka
wd-pas,Passé
wd-pro,Proto-Arawak
wd-prw-pro,Proto-Paresi-Waura
wd-she,Shebayo
wd-taa-pro,Proto-Ta-Arawak
wd-wai,Wainumá
wd-yum,Yumana
we,Awetí
wg,Anguthimri
wh,Awbono
wi,Aekyom
wk,Awabakal
wm,Arawum
wn,Awngi
wo,Awak
wr,Awera
ws,South Awyu
wt,Araweté
wu,Central Awyu
wv,Jair Awyu
ww,Awun
wx,Awara
wy,Edera Awyu
xb,Abipon
xe,Ayerrerenge
xg,Mato Grosso Arára
xk,Aka (Central Africa)
xl,Lower Southern Aranda
xm,Middle Armenian
xx,Xaragure
y,Aymara
ya,Awar
yb,Ayizo
yd,Ayabadhu
ye,Ayere
yg,Nyanga (Togo)
yh,Hadrami Arabic
yi,Leyigha
yk,Akuku
yl,Libyan Arabic
yn,Sanaani Arabic
yo,Ayoreo
yp,North Mesopotamian Arabic
yq,Ayi
ys,Sorsogon Ayta
yt,Bataan Ayta
yu,Ayu
yy,Tayabas Ayta
yz,Maybrat
z,Azerbaijani
za,Azha
zc-caz,Cazcan
zc-cup-pro,Proto-Cupan
zc-ktn,Kitanemuk
zc-nah-pro,Proto-Nahuan
zc-num-pro,Proto-Numic
zc-pro,Proto-Uto-Aztecan
zc-tak-pro,Proto-Takic
zc-tat,Tataviam
zd,Eastern Durango Nahuatl
zg,San Pedro Amuzgos Amuzgo
zm,Ipalapa Amuzgo
zn,Western Durango Nahuatl
zo,Awing
zt,Faire Atta
zz,Highland Puebla Nahuatl
a,Bashkir
aa,Babatana
ab,Bainouk-Gunyuño
ac,Badui
ae,Baré
af,Nubaca
ag,Tuki
ah,Bahamian Creole
aj,Barakai
al,Baluchi
an,Balinese
ao,Waimaha
ap,Bantawa
ar,Bavarian
as,Basaa
au,Badanchi
av,Babungo
aw,Bambili-Bambui
ax,Bamum
ay,Batuley
ba,Baatonum
bb,Barai
bc,Toba Batak
bd,Bau
be,Bangba
bf,Baibai
bg,Barama
bh,Bugan
bi,Barombi
bj,Ghomala'
bk,Babanki
bl,Bats
bm,Babango
bn,Uneapa
bo,Konabéré
bp,West Central Banda
bq,Bamali
br,Girawa
bs,Bakpinka
bt,Mburku
bu,Bakulung
bv,Karnai
bw,Baba
bx,Bubia
by,Befang
bz,Babalia Creole Arabic
ca,Central Bai
cb,Bainouk-Samik
cd,North Babar
ce,Bamenyam
cf,Bamu
cg,Baga Pokur
ch,Bariai
ci,Baoule
cj,Bardi
ck,Bunaba
cl,Bikol Central
cm,Banoni
cn,Bibaali
co,Kaluli
cp,Bali
cq,Bench
cr,Babine-Witsuwit'en
cs,Kohumono
ct,Bendi
cu,Biliau
cv,Shoo-Minda-Nye
cw,Bana
cy,Bacama
cz,Bainouk-Gunyaamolo
da,Bayot
db,Basap
dc,Emberá-Baudó
dd,Bunama
de,Bade
df,Biage
dg,Bonggi
dh,Tara Baka
di,Burun
dj,Bai
dk,Budukh
dl,Indonesian Bajau
dm,Buduma
dn,Baldemu
do,Morom
dp,Bende
dq,Bahnar
dr,West Coast Bajau
ds,Burunge
dt,Bokoto
du,Oroko
dv,Bodo Parja
dw,Baham
dx,Budong-Budong
dy,Bandjalang
dz,Badeshi
e,Belarusian
ea,Beaver
eb,Bebele
ec,Iceve-Maci
ed,Bedoanas
ee,Byangsi
ef,Benabena
eg,Belait
eh,Biali
ei,Bekati'
ej,Beja
ek,Bebeli
em,Bemba
eo,Beami
ep,Besoa
eq,Beembe
er-pro,Proto-Berber
es,Besme
et,Guiberoua Bété
eu,Blagar
ev,Daloa Bété
ew,Betawi
ex,Jur Modo
ey,Akuwagel
ez,Kibena
fa,Bari
fb,Pauri Bareli
fc,Northern Bai
fd,Bafut
fe,Betaf
ff,Bofi
fg,Busang Kayan
fh,Blafe
fi,British Sign Language
fj,Bafanji
fk,Ban Khor Sign Language
fl,Banda-Ndélé
fm,Mmen
fn,Bunak
fo,Malba Birifor
fp,Beba
fq,Badaga
fr,Bazigar
fs,Southern Bai
ft,Balti
fu,Gahri
fw,Bondo
fx,Bantayanon
fy,Bagheli
fz,Mahasu Pahari
g,Bulgarian
ga,Gwamhi-Wuri
gb,Bobongko
gc,Haryanvi
gd,Rathwi Bareli
ge,Bauria
gf,Bangandu
gg,Bugun
gi,Giangan
gj,Bangolan
gk,Bit
gl,Bo
go,Baga Koga
gq,Bagri
gr,Bawm Chin
gs,Tagabawa
gt,Bughotu
gu,Mbongno
gv,Warkay-Bipim
gw,Bhatri
gx,Balkan Gagauz Turkish
gy,Benggoi
gz,Banggai
h,Bihari
ha,Bharia
hb,Bhili
hc,Biga
hd,Bhadrawahi
he,Bhaya
hf,Odiai
hg,Binandere
hh,Bukhari
hi,Bhilali
hj,Bahing
hl,Bimin
hm,Bathari
hn,Bohtan Neo-Aramaic
ho,Bhojpuri
hp,Bima
hq,Tukang Besi South
hs,Buwal
ht,Bhattiyali
hu,Bhunjia
hv,Bahau
hw,Biak
hx,Bhalay
hy,Bhele
hz,Bada
i,Bislama
ia,Badimaya
ib,Bissa
ic,Bikaru
id,Bidiyo
ie,Bepour
if,Biafada
ig,Biangai
ij,Kwanka
il,Bile
im,Bimoba
in,Edo
io,Nai
ip,Bila
iq,Bipi
ir,Bisorio
it,Berinomo
iu,Biete
iv,Southern Birifor
iw,Kol (Cameroon)
ix,Bijori
iy,Birhor
iz,Baloi
ja,Budza
jb,Barngarla
jc,Bariji
je,Biao-Jiao Mien
jf,Barzani Jewish Neo-Aramaic
jg,Bidyogo
jh,Bahinemo
ji,Burji
jj,Kannauji
jk,Barok
jl,Bulu (New Guinea)
jm,Bajelani
jn,Banjarese
jo,Mid-Southern Banda
jp,Fanamaket
jr,Binumarien
js,Bajan
jt,Balanta-Ganja
ju,Busuu
jv,Bedjond
jw,Bakwé
jx,Banao Itneg
jy,Bayali
jz,Baruga
ka,Kyak
kc,Baka
kd,Binukid
kf,Beeke
kg,Buraka
kh,Bakoko
ki,Baki
kj,Pande
kk,Brokskat
kl,Berik
km,Kom (Cameroon)
kn,Bukitan
ko,Kwa'
kp,Iboko
kq,Bakairí
kr,Bakumpai
ks,Masbate Sorsogon
kt,Boloki
ku,Buhid
kv,Bekwarra
kw,Bekwel
kx,Baikeno
ky,Bokyi
kz,Bungku
la,Blackfoot
lb,Bilua
lc,Bella Coola
ld,Bolango
le,Balanta-Kentohe
lf,Buol
lg,Balau
lh,Kuwaa
li,Bolia
lj,Bolongan
lk,Pa'o Karen
ll,Biloxi
lm,Beli
ln,Southern Catanduanes Bicolano
lo,Anii
lp,Blablanga
lq,Baluan-Pam
lr,Blang
ls,Balaesang
lt,Tai Dam
lv,Kibala
lw,Balangao
lx,Mag-Indi Ayta
ly,Notre
lz,Balantak
m,Bambara
ma,Lame
mb,Bembe
mc,Biem
md,Baga Manduri
me,Limassa
mf,Bom
mg,Bamwe
mh,Kein
mi,Bagirmi
mj,Bote-Majhi
mk,Ghayavi
ml,Bomboli
mn,Bina
mo,Bambalang
mp,Bulgebi
mq,Bomu
mr,Muinane
mt,Biao Mon
mu,Somba-Siawari
mv,Bum
mw,Bomwali
mx,Baimak
mz,Baramu
n,Bengali
na,Bonerate
nb,Bookan
nd,Banda
ne,Bintauna
nf,Masiwang
ng,Benga
ni,Bangi
nj,Eastern Tawbuid
nk,Bierebo
nl,Boon
nm,Batanga
nn,Bunun
no,Asi
np,Bola
nq,Bantik
nr,Butmas-Tur
ns,Bundeli
nt-bal,Balong
nt-cmw,Chimwiini
nt-ind,Indanga
nt-lal,Lala (South Africa)
nt-lwl,Lwel
nt-mpi,Mpiin
nt-ngu-pro,Proto-Nguni
nt-phu,Phuthi
nt-pro,Proto-Bantu
nt-sts-pro,Proto-Sotho-Tswana
nu,Bentong
nv,Beneraf
nw,Bisis
nx,Bangubangu
ny,Bintulu
nz,Beezen
o,Tibetan
oa,Bora
ob,Aweer
oe,Mundabli
of,Bolon
og,Bamako Sign Language
oh,Boma
oi,Barbareño
oj,Anjam
ok,Bonjo
ol,Bole
om,Berom
on,Bine
oo,Tiemacèwè Bozo
op,Bonkiman
oq,Bogaya
or,Borôro
ot,Bongo
ou,Bondei
ov,Tuwuli
ow,Rema
ox,Buamu
oy,Bodo (Central Africa)
oz,Tiéyaxo Bozo
pa,Dakaka
pb,Barbacoas
pd,Banda-Banda
pg,Bonggo
ph,Botlikh
pi,Bagupi
pj,Binji
pk,Orowe
pl,Broome Pearling Lugger Pidgin
pm,Biyom
pn,Dzao Min
po,Anasi
pp,Kaure
pq,Banda Malay
pr,Koronadal Blaan
ps,Sarangani Blaan
pt,Barrow Point
pu,Bongu
pv,Bian Marind
px,Palya Bareli
py,Bishnupriya Manipuri
pz,Bilba
qa,Tchumbuli
qb,Bagusa
qc,Boko
qd,Bung
qf,Baga Kaloum
qg,Bago-Kusuntu
qh,Baima
qi,Bakhtiari
qj,Bandial
qk,Banda-Mbrès
ql,Bilakura
qm,Wumboko
qn,Bulgarian Sign Language
qo,Balo
qp,Busa
qq,Biritai
qr,Burusu
qs,Bosngun
qt,Bamukumbit
qu,Boguru
qv,Begbere-Ejar
qw,Buru (Nigeria)
qx,Baangi
qy,Bengkala Sign Language
qz,Bakaka
r,Breton
ra,Braj
rb,Lave
rc,Berbice Creole Dutch
rd,Baraamu
rf,Bera
rg,Baure
rh,Brahui
ri,Mokpwe
rj,Bieria
rk,Birgid
rl,Birwa
rm,Barambu
rn,Boruca
ro,Brokkat
rp,Barapasi
rq,Breri
rr,Birao
rs,Baras
rt,Bitare
ru,Eastern Bru
rv,Western Bru
rw,Bellari
rx,Bodo (India)
ry,Burui
rz,Bilbil
sa,Abinomn
sb,Brunei Bisaya
sc,Bassari
se,Wushi
sf,Bauchi
sg,Bashkardi
sh,Kamkata-viri
si,Bassossi
sj,Bangwinji
sk,Burushaski
sl,Basa-Gumna
sm,Busami
sn,Barasana
so,Buso
sp,Baga Sitemu
sq,Bassa
sr,Bassa-Kontagora
ss,Akoose
st,Basketo
su,Bahonsuai
sv,Baga Sobané
sw,Baiso
sx,Yangkam
sy,Sabah Bisaya
ta,Bata
tc,Bati (Cameroon)
td,Dairi Batak
te,Gamo-Ningi
tf,Birgit
tg,Gagnoa Bété
th,Biatah Bidayuh
ti,Burate
tj,Bacanese Malay
tk-pro,Proto-Batak
tm,Mandailing Batak
tn,Ratagnon
to,Iriga Bicolano
tp,Budibud
tq,Batek
tr,Baetora
ts,Simalungun Batak
tt,Bete-Bendi
tu,Batu
tv,Bateri
tw,Butuanon
tx,Karo Batak
ty,Bobot
tz,Alas-Kluet Batak
ua,Buryat
ub,Bua
ud,Ntcham
ue,Beothuk
uf,Bushoong
ug,Buginese
uh,Younuo Bunu
ui,Bongili
uj,Basa-Gurmana
uk,Bukawa
um,Bulu (Cameroon)
un,Sherbro
uo,Terei
up,Busoa
uq,Brem
us,Bokobaru
ut,Bungain
uu,Budu
uv,Bun
uw,Bubi
ux,Boghom
uy,Mmani
va,Barein
vb,Bube
vc,Baelelea
vd,Baeggu
ve,Berau Malay
vf,Boor
vg,Bonkeng
vh,Bure
vi,Belanda Viri
vj,Baan
vk,Bukat
vl,Bolivian Sign Language
vm,Bamunka
vn,Buna
vo,Bolgo
vp,Bumang
vq,Birri
vr,Burarra
vt,Bati (Indonesia)
vu,Bukit Malay
vv,Baniva
vw,Boga
vx,Babole
vy,Baybayanon
vz,Bauzi
wa,Bwatoo
wb,Namosi-Naitasiri-Serua
wc,Bwile
wd,Bwaidoka
we,Bwe Karen
wf,Boselewa
wg,Barwe
wh,Bishuo
wi,Baniwa
wj,Láá Láá Bwamu
wk,Bauwaki
wl,Bwela
wm,Biwat
wn,Wunai Bunu
wo,Shinasha
wp,Mandobo Bawah
wq,Southern Bobo
wr,Bura
ws,Bomboma
wt,Bafaw
wu,Buli (Ghana)
ww,Bwa
wx,Bu-Nao Bunu
wy,Cwi Bwamu
wz,Bwisi
xa,Bauro
xb,Belanda Bor
xc,Molengue
xd,Pela
xe,Ongota
xf,Bilur
xg,Bangala
xh,Buhutu
xi,Pirlatapa
xj,Bayungu
xk,Bukusu
xl,Jalkunan
xn,Burduna
xo,Barikanchi
xp,Bebil
xq,Beele
xs,Busam
xv,Berakou
xw,Banka
xz,Binahari
ya,Palawan Batak
yb,Bikya
yc,Ubaghara
yd,Benyadu'
ye,Pouye
yf,Bete
yg,Baygo
yh,Bujhyal
yi,Buyu
yj,Binawa
yk,Biao
yl,Bayono
ym,Bidyara
yn,Blin
yo,Biyo
yp,Bumaji
yq,Basay
yr,Baruya
ys,Burak
yt,Berti
yv,Medumba
yw,Belhariya
yx,Qaqet
yz,Banaro
za,Bandi
zb,Andio
zd,Bribri
ze,Jenaama Bozo
zf,Boikin
zg,Babuza
zh,Mapos Buang
zi,Bisu
zj,Belizean Creole
zk,Nicaraguan Creole
zl,Boano (Sulawesi)
zm,Bolondo
zn,Boano (Maluku)
zo,Bozaba
zp,Kemberano
zq,Buli (Indonesia)
zr,Biri
zs,Brazilian Sign Language
zu,Burmeso
zv,Bebe
zw,Basa
zx,Hainyaxo Bozo
zy,Obanliku
zz,Evant
a,Catalan
aa,Ch'orti'
ab,Garifuna
ac,Chuj
ad,Caddo
ae,Laalaa
af,Southern Carrier
ag,Nivaclé
ah,Cahuarano
aj,Chané
ak,Kaqchikel
al,Carolinian
am,Cemuhî
an,Chambri
ao,Chácobo
ap,Chipaya
aq,Car Nicobarese
ar,Galibi Carib
as,Tsimané
au-abz-pro,Proto-Abkhaz-Abaza
au-ava-pro,Proto-Avaro-Andian
au-cir-pro,Proto-Circassian
au-drg-pro,Proto-Dargwa
au-lzg-pro,Proto-Lezghian
au-nec-pro,Proto-Northeast Caucasian
au-nkh-pro,Proto-Nakh
au-nwc-pro,Proto-Northwest Caucasian
au-tsz-pro,Proto-Tsezian
av,Cavineña
aw,Callawalla
ax,Chiquitano
ay,Cayuga
az,Canichana
ba-ata,Atanques
ba-cat,Catío Chibcha
ba-dor,Dorasque
ba-dui,Duit
ba-hue,Huetar
ba-nut,Nutabe
ba-pro,Proto-Chibchan
bb,Cabiyarí
bc,Carapana
bd,Carijona
bg,Chimila
bi,Chachi
bj,Ede Cabe
bk,Chavacano
bl,Bualkhaw Chin
bn,Nyah Kur
bo,Izora
bq,Shuba
br,Cashibo-Cacataibo
bs,Cashinahua
bt,Chayahuita
bu,Candoshi-Shapra
bv,Cacua
bw,Kinabalian
by,Carabayo
ca,Cauca
cc,Chamicuro
cd,Cafundó
ce,Chopi
cg,Chamba Daka
ch,Atsam
cj,Kasanga
cl,Cutchi-Swahili
cm,Malaccan Creole Malay
cn-pro,Proto-North Caucasian
co,Comaltepec Chinantec
cp,Chakma
cr,Cacaopera
cs-gzn-pro,Proto-Georgian-Zan
cs-pro,Proto-Kartvelian
da,Choni
dc-cbm-pro,Proto-Central Chadic
dc-mas-pro,Proto-Masa
dc-pro,Proto-Chadic
dd-pro,Proto-Caddoan
de,Chenchu
df,Chiru
dh,Chambeali
di,Chodri
dj,Churahi
dm,Chepang
dn,Chaudangsi
do,Min Dong
dr,Cinda-Regi-Tiyal
ds,Chadian Sign Language
dy,Chadong
dz,Koda
e,Chechen
ea,Lower Chehalis
eb,Cebuano
eg,Chamacoco
el-bry-pro,Proto-Brythonic
el-gal,Gallaecian
el-gau,Gaulish
el-pro,Proto-Celtic
en,Cen
et,Centúúm
fa,Dijim-Bwilim
fd,Cara
fg,Como Karim
fm,Falam Chin
ga,Changriwa
gc,Kagayanen
gg,Rukiga
gk,Chocangaca
h,Chamorro
hb,Chibcha
hc,Catawba
hd,Highland Oaxaca Chontal
hf,Tabasco Chontal
hg,Chagatai
hh,Chinook
hi-pro,Proto-Chimakuan
hj,Ojitlán Chinantec
hk,Chuukese
hl,Cahuilla
hm,Eastern Mari
hn,Chinook Jargon
ho,Choctaw
hp,Chipewyan
hq,Quiotepec Chinantec
hr,Cherokee
ht,Cholón
hw,Chuabo
hx,Chantyal
hy,Cheyenne
hz,Ozumacín Chinantec
ia,Cia-Cia
ib,Ci Gbe
ic,Chickasaw
id,Chimariko
ie,Cineni
ih,Chinali
ik,Chitkuli Kinnauri
im,Cimbrian
in,Cinta Larga
ip,Chiapanec
ir,Tiri
iy,Chaima
ja,Western Cham
je,Chru
jh,Upper Chehalis
ji,Chamalal
jk,Chokwe
jm,Eastern Cham
jn,Chenapian
jo,Ashéninka Pajonal
jp,Cabécar
js,Shor
jv,Chuave
jy,Jin
kb,Central Kurdish
kh,Chak
kl,Cibak
kn,Kaang Chin
ko,Anufo
kq,Kajakse
kr,Kairak
ks,Tayo
kt,Chukchi
ku,Koasati
kv,Kavalan
kx,Caka
ky,Cakfem-Mushere
kz,Cakchiquel-Quiché Mixed Language
la,Ron
lc,Chilcotin
ld,Chaldean Neo-Aramaic
le,Lealao Chinantec
lh,Chilisso
li,Chakali
lj,Laitu Chin
lk,Idu
ll,Chala
lm,Klallam
lo,Lowland Oaxaca Chontal
lt,Lautu Chin
lu,Caluyanun
lw,Chulym
ly,Eastern Highland Chatino
ma,Maa
mc-pro,Proto-Chamic
me,Cerma
mg,Classical Mongolian
mi,Emberá-Chamí
ml,Campalagian
mm,Michigamea
